Year,Month,Day,Hour,Minute,Second,HYY_META.diffPAR
2016,01,07,10,00,00,29.79167
2016,01,07,10,30,00,50.05533
2016,01,07,11,00,00,64.84
2016,01,07,11,30,00,76.04067
2016,01,07,12,00,00,83.42267
2016,01,07,12,30,00,83.766
2016,01,07,13,00,00,79.71633
2016,01,07,13,30,00,67.49567
2016,01,07,14,00,00,48.64267
2016,01,07,14,30,00,28.45433
2016,01,07,15,00,00,10.28633
2016,01,07,15,30,00,1.11333
2016,01,07,16,00,00,0.003
2016,01,07,16,30,00,0.004
2016,01,07,17,00,00,0.00467
2016,01,07,17,30,00,0.00333
2016,01,07,18,00,00,0.004
2016,01,07,18,30,00,0.01033
2016,01,07,19,00,00,0.01133
2016,01,07,19,30,00,0.01267
2016,01,07,20,00,00,0.01
2016,01,07,20,30,00,0.006
2016,01,07,21,00,00,0.00533
2016,01,07,21,30,00,0.0069
2016,01,07,22,00,00,0.00633
2016,01,07,22,30,00,0.006
2016,01,07,23,00,00,0.00133
2016,01,07,23,30,00,0.002
2016,01,08,00,00,00,-0.01033
2016,01,08,00,30,00,-0.00733
2016,01,08,01,00,00,-0.01
2016,01,08,01,30,00,-0.00633
2016,01,08,02,00,00,-0.03533
2016,01,08,02,30,00,-0.008
2016,01,08,03,00,00,-0.00433
2016,01,08,03,30,00,-0.003
2016,01,08,04,00,00,-0.02933
2016,01,08,04,30,00,-0.00233
2016,01,08,05,00,00,-0.006
2016,01,08,05,30,00,-0.00033
2016,01,08,06,00,00,0.00433
2016,01,08,06,30,00,-0.004
2016,01,08,07,00,00,0.01333
2016,01,08,07,30,00,0.00967
2016,01,08,08,00,00,0.00367
2016,01,08,08,30,00,-0.001
2016,01,08,09,00,00,1.25567
2016,01,08,09,30,00,10.33867
2016,01,08,10,00,00,25.46333
2016,01,08,10,30,00,45.76172
2016,01,08,11,00,00,54.09733
2016,01,08,11,30,00,64.90767
2016,01,08,12,00,00,82.14633
2016,01,08,12,30,00,86.37933
2016,01,08,13,00,00,81.46133
2016,01,08,13,30,00,63.91621
2016,01,08,14,00,00,43.421
2016,01,08,14,30,00,24.16567
2016,01,08,15,00,00,7.84767
2016,01,08,15,30,00,0.779
2016,01,08,16,00,00,-0.002
2016,01,08,16,30,00,-0.001
2016,01,08,17,00,00,-0.00367
2016,01,08,17,30,00,-0.00033
2016,01,08,18,00,00,-0.004
2016,01,08,18,30,00,-0.00467
2016,01,08,19,00,00,0.01033
2016,01,08,19,30,00,0.00241
2016,01,08,20,00,00,0.00069
2016,01,08,20,30,00,0.003
2016,01,08,21,00,00,-0.00467
2016,01,08,21,30,00,0.00367
2016,01,08,22,00,00,-0.004
2016,01,08,22,30,00,-0.00233
2016,01,08,23,00,00,-0.004
2016,01,08,23,30,00,-0.00167
2016,01,09,00,00,00,-0.00433
2016,01,09,00,30,00,-0.01333
2016,01,09,01,00,00,-0.01533
2016,01,09,01,30,00,-0.014
2016,01,09,02,00,00,-0.01733
2016,01,09,02,30,00,-0.00567
2016,01,09,03,00,00,-0.01267
2016,01,09,03,30,00,-0.00233
2016,01,09,04,00,00,-0.006
2016,01,09,04,30,00,-0.007
2016,01,09,05,00,00,-0.017
2016,01,09,05,30,00,-0.005
2016,01,09,06,00,00,-0.01133
2016,01,09,06,30,00,-0.00167
2016,01,09,07,00,00,-0.00833
2016,01,09,07,30,00,-0.00867
2016,01,09,08,00,00,-0.01433
2016,01,09,08,30,00,-0.00933
2016,01,09,09,00,00,1.31967
2016,01,09,09,30,00,9.668
2016,01,09,10,00,00,24.91
2016,01,09,10,30,00,41.82633
2016,01,09,11,00,00,60.95067
2016,01,09,11,30,00,78.801
2016,01,09,12,00,00,83.64667
2016,01,09,12,30,00,87.879
2016,01,09,13,00,00,82.62733
2016,01,09,13,30,00,68.25267
2016,01,09,14,00,00,52.92167
2016,01,09,14,30,00,31.69333
2016,01,09,15,00,00,11.777
2016,01,09,15,30,00,1.42967
2016,01,09,16,00,00,0.00867
2016,01,09,16,30,00,0.008
2016,01,09,17,00,00,0.01967
2016,01,09,17,30,00,0.01667
2016,01,09,18,00,00,0.00033
2016,01,09,18,30,00,-0.003
2016,01,09,19,00,00,-0.00933
2016,01,09,19,30,00,-0.001
2016,01,09,20,00,00,0.00467
2016,01,09,20,30,00,-0.00433
2016,01,09,21,00,00,0.00433
2016,01,09,21,30,00,0.00828
2016,01,09,22,00,00,0.005
2016,01,09,22,30,00,0.001
2016,01,09,23,00,00,-0.00667
2016,01,09,23,30,00,-0.00483
2016,01,10,00,00,00,-0.002
2016,01,10,00,30,00,-0.006
2016,01,10,01,00,00,-0.013
2016,01,10,01,30,00,-0.008
2016,01,10,02,00,00,-0.01
2016,01,10,02,30,00,-0.005
2016,01,10,03,00,00,-0.002
2016,01,10,03,30,00,0.00133
2016,01,10,04,00,00,-0.001
2016,01,10,04,30,00,-0.004
2016,01,10,05,00,00,-0.01
2016,01,10,05,30,00,0.009
2016,01,10,06,00,00,0.00367
2016,01,10,06,30,00,-0.00533
2016,01,10,07,00,00,0.003
2016,01,10,07,30,00,0.014
2016,01,10,08,00,00,0.01267
2016,01,10,08,30,00,0.00467
2016,01,10,09,00,00,2.015
2016,01,10,09,30,00,13.46633
2016,01,10,10,00,00,33.15967
2016,01,10,10,30,00,52.782
2016,01,10,11,00,00,67.80967
2016,01,10,11,30,00,76.51833
2016,01,10,12,00,00,84.10633
2016,01,10,12,30,00,82.453
2016,01,10,13,00,00,78.336
2016,01,10,13,30,00,60.57567
2016,01,10,14,00,00,42.391
2016,01,10,14,30,00,25.765
2016,01,10,15,00,00,9.26714
2016,01,10,15,30,00,1.182
2016,01,10,16,00,00,-0.007
2016,01,10,16,30,00,-0.007
2016,01,10,17,00,00,-0.005
2016,01,10,17,30,00,-0.011
2016,01,10,18,00,00,-0.005
2016,01,10,18,30,00,0.003
2016,01,10,19,00,00,0.00414
2016,01,10,19,30,00,0.018
2016,01,10,20,00,00,0.01467
2016,01,10,20,30,00,0.00867
2016,01,10,21,00,00,0.00867
2016,01,10,21,30,00,0.01667
2016,01,10,22,00,00,0.00867
2016,01,10,22,30,00,0.02167
2016,01,10,23,00,00,0.01933
2016,01,10,23,30,00,0.00667
2016,01,11,00,00,00,0.00467
2016,01,11,00,30,00,0.01433
