Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2008,07,07,22,00,00,3.05
2008,07,07,22,30,00,-0.31
2008,07,07,23,00,00,-1.59
2008,07,07,23,30,00,-1.558
2008,07,08,00,00,00,-0.826
2008,07,08,00,30,00,-0.794
2008,07,08,01,00,00,-0.378
2008,07,08,01,30,00,-0.074
2008,07,08,02,00,00,0.31
2008,07,08,02,30,00,4.246
2008,07,08,03,00,00,7.35
2008,07,08,03,30,00,18.038
2008,07,08,04,00,00,47.24633
2008,07,08,04,30,00,95.72967
2008,07,08,05,00,00,108.30833
2008,07,08,05,30,00,113.171
2008,07,08,06,00,00,175.052
2008,07,08,06,30,00,344.97767
2008,07,08,07,00,00,381.72
2008,07,08,07,30,00,339.984
2008,07,08,08,00,00,111.31633
2008,07,08,08,30,00,126.809
2008,07,08,09,00,00,199.249
2008,07,08,09,30,00,290.29867
2008,07,08,10,00,00,297.46667
2008,07,08,10,30,00,341.75933
2008,07,08,11,00,00,319.67967
2008,07,08,11,30,00,553.46633
2008,07,08,12,00,00,438.01167
2008,07,08,12,30,00,686.25067
2008,07,08,13,00,00,666.152
2008,07,08,13,30,00,612.978
2008,07,08,14,00,00,461.999
2008,07,08,14,30,00,761.00967
2008,07,08,15,00,00,358.44967
2008,07,08,15,30,00,394.87133
2008,07,08,16,00,00,356.78533
2008,07,08,16,30,00,607.98467
2008,07,08,17,00,00,362.114
2008,07,08,17,30,00,377.861
2008,07,08,18,00,00,253.799
2008,07,08,18,30,00,109.01267
2008,07,08,19,00,00,161.48267
2008,07,08,19,30,00,140.58567
2008,07,08,20,00,00,68.115
2008,07,08,20,30,00,31.21433
2008,07,08,21,00,00,18.294
2008,07,08,21,30,00,7.174
2008,07,08,22,00,00,3.35
2008,07,08,22,30,00,2.582
2008,07,08,23,00,00,1.606
2008,07,08,23,30,00,0.598
2008,07,09,00,00,00,-1.38
2008,07,09,00,30,00,-1.14
2008,07,09,01,00,00,-0.964
2008,07,09,01,30,00,-0.852
2008,07,09,02,00,00,0.604
2008,07,09,02,30,00,1.484
2008,07,09,03,00,00,4.508
2008,07,09,03,30,00,12.892
2008,07,09,04,00,00,23.244
2008,07,09,04,30,00,31.82
2008,07,09,05,00,00,41.5
2008,07,09,05,30,00,42.044
2008,07,09,06,00,00,57.22833
2008,07,09,06,30,00,87.318
2008,07,09,07,00,00,117.734
2008,07,09,07,30,00,114.742
2008,07,09,08,00,00,133.448
2008,07,09,08,30,00,174.832
2008,07,09,09,00,00,184.15867
2008,07,09,09,30,00,227.79633
2008,07,09,10,00,00,259.59067
2008,07,09,10,30,00,244.774
2008,07,09,11,00,00,333.31367
2008,07,09,11,30,00,415.77133
2008,07,09,12,00,00,371.71833
2008,07,09,12,30,00,265.816
2008,07,09,13,00,00,470.65833
2008,07,09,13,30,00,164.23633
2008,07,09,14,00,00,115.14367
2008,07,09,14,30,00,244.05633
2008,07,09,15,00,00,146.90733
2008,07,09,15,30,00,222.8424
2008,07,09,16,00,00,306.44767
2008,07,09,16,30,00,277.21
2008,07,09,17,00,00,148.923
2008,07,09,17,30,00,173.83833
2008,07,09,18,00,00,209.01067
2008,07,09,18,30,00,134.15167
2008,07,09,19,00,00,51.948
2008,07,09,19,30,00,47.836
2008,07,09,20,00,00,23.948
2008,07,09,20,30,00,14.396
2008,07,09,21,00,00,7.388
2008,07,09,21,30,00,4.972
2008,07,09,22,00,00,3.164
2008,07,09,22,30,00,2.54
2008,07,09,23,00,00,2.188
2008,07,09,23,30,00,2.012
2008,07,10,00,00,00,0.386
2008,07,10,00,30,00,-0.174
2008,07,10,01,00,00,0.066
2008,07,10,01,30,00,0.434
2008,07,10,02,00,00,0.37
2008,07,10,02,30,00,0.786
2008,07,10,03,00,00,2.482
2008,07,10,03,30,00,3.698
2008,07,10,04,00,00,8.178
2008,07,10,04,30,00,24.322
2008,07,10,05,00,00,34.834
2008,07,10,05,30,00,35.17
2008,07,10,06,00,00,42.994
2008,07,10,06,30,00,88.20067
2008,07,10,07,00,00,119.39
2008,07,10,07,30,00,142.68867
2008,07,10,08,00,00,106.236
2008,07,10,08,30,00,83.116
2008,07,10,09,00,00,116.55767
2008,07,10,09,30,00,102.572
2008,07,10,10,00,00,191.767
2008,07,10,10,30,00,228.97067
2008,07,10,11,00,00,310.63067
2008,07,10,11,30,00,579.81667
2008,07,10,12,00,00,783.45967
2008,07,10,12,30,00,612.95833
2008,07,10,13,00,00,398.1
2008,07,10,13,30,00,586.95533
2008,07,10,14,00,00,618.71967
2008,07,10,14,30,00,484.90833
2008,07,10,15,00,00,401.93767
2008,07,10,15,30,00,362.51
2008,07,10,16,00,00,512.91367
2008,07,10,16,30,00,396.30567
2008,07,10,17,00,00,353.245
2008,07,10,17,30,00,214.65
2008,07,10,18,00,00,238.41333
2008,07,10,18,30,00,214.314
2008,07,10,19,00,00,167.651
2008,07,10,19,30,00,128.14067
2008,07,10,20,00,00,65.30267
2008,07,10,20,30,00,28.818
2008,07,10,21,00,00,13.81
2008,07,10,21,30,00,4.53
2008,07,10,22,00,00,0.914
2008,07,10,22,30,00,-0.078
2008,07,10,23,00,00,-0.206
2008,07,10,23,30,00,-0.478
2008,07,11,00,00,00,0.806
2008,07,11,00,30,00,0.54967
2008,07,11,01,00,00,0.582
2008,07,11,01,30,00,0.34167
2008,07,11,02,00,00,0.694
2008,07,11,02,30,00,2.198
2008,07,11,03,00,00,6.918
2008,07,11,03,30,00,15.062
2008,07,11,04,00,00,43.094
2008,07,11,04,30,00,85.16567
2008,07,11,05,00,00,132.88233
2008,07,11,05,30,00,183.018
2008,07,11,06,00,00,243.21867
2008,07,11,06,30,00,302.95467
2008,07,11,07,00,00,368.89867
2008,07,11,07,30,00,282.98367
2008,07,11,08,00,00,354.656
2008,07,11,08,30,00,409.96133
2008,07,11,09,00,00,166.038
2008,07,11,09,30,00,249.38
2008,07,11,10,00,00,226.24
2008,07,11,10,30,00,258.19533
2008,07,11,11,00,00,643.52833
2008,07,11,11,30,00,502.10167
2008,07,11,12,00,00,748.69567
2008,07,11,12,30,00,686.608
2008,07,11,13,00,00,254.59567
2008,07,11,13,30,00,34.75036
2008,07,11,14,00,00,38.118
2008,07,11,14,30,00,290.35967
2008,07,11,15,00,00,466.09633
2008,07,11,15,30,00,145.589
2008,07,11,16,00,00,122.25767
2008,07,11,16,30,00,381.62133
2008,07,11,17,00,00,181.514
2008,07,11,17,30,00,126.61133
2008,07,11,18,00,00,38.31
2008,07,11,18,30,00,13.44379
2008,07,11,19,00,00,14.726
2008,07,11,19,30,00,25.494
2008,07,11,20,00,00,27.462
2008,07,11,20,30,00,26.918
2008,07,11,21,00,00,8.646
2008,07,11,21,30,00,2.55
2008,07,11,22,00,00,-0.288
2008,07,11,22,30,00,-0.80333
2008,07,11,23,00,00,-1.18767
2008,07,11,23,30,00,-0.99533
2008,07,12,00,00,00,-0.54
2008,07,12,00,30,00,-0.412
2008,07,12,01,00,00,0.148
2008,07,12,01,30,00,0.164
2008,07,12,02,00,00,0.292
