Year,Month,Day,Hour,Minute,Second,HYY_META.diffGLOB
2008,07,07,03,30,00,10.07633
2008,07,07,04,00,00,13.70667
2008,07,07,04,30,00,28.50033
2008,07,07,05,00,00,66.159
2008,07,07,05,30,00,59.08867
2008,07,07,06,00,00,70.63333
2008,07,07,06,30,00,112.027
2008,07,07,07,00,00,111.00667
2008,07,07,07,30,00,116.958
2008,07,07,08,00,00,202.42467
2008,07,07,08,30,00,184.59267
2008,07,07,09,00,00,210.61467
2008,07,07,09,30,00,244.01433
2008,07,07,10,00,00,201.37
2008,07,07,10,30,00,236.833
2008,07,07,11,00,00,252.604
2008,07,07,11,30,00,248.68933
2008,07,07,12,00,00,313.61467
2008,07,07,12,30,00,328.11267
2008,07,07,13,00,00,346.258
2008,07,07,13,30,00,277.87167
2008,07,07,14,00,00,368.41833
2008,07,07,14,30,00,282.96733
2008,07,07,15,00,00,234.083
2008,07,07,15,30,00,203.28433
2008,07,07,16,00,00,197.166
2008,07,07,16,30,00,220.83333
2008,07,07,17,00,00,210.594
2008,07,07,17,30,00,215.77067
2008,07,07,18,00,00,117.892
2008,07,07,18,30,00,87.45933
2008,07,07,19,00,00,67.636
2008,07,07,19,30,00,57.721
2008,07,07,20,00,00,48.10767
2008,07,07,20,30,00,32.857
2008,07,07,21,00,00,19.33733
2008,07,07,21,30,00,9.52633
2008,07,07,22,00,00,5.42767
2008,07,07,22,30,00,2.011
2008,07,07,23,00,00,0.17333
2008,07,07,23,30,00,0.07333
2008,07,08,00,00,00,-0.26633
2008,07,08,00,30,00,-0.29933
2008,07,08,01,00,00,0.23933
2008,07,08,01,30,00,0.71067
2008,07,08,02,00,00,0.98
2008,07,08,02,30,00,4.47333
2008,07,08,03,00,00,7.32467
2008,07,08,03,30,00,16.78733
2008,07,08,04,00,00,27.794
2008,07,08,04,30,00,35.33933
2008,07,08,05,00,00,85.215
2008,07,08,05,30,00,110.832
2008,07,08,06,00,00,144.24133
2008,07,08,06,30,00,108.74267
2008,07,08,07,00,00,66.43233
2008,07,08,07,30,00,111.363
2008,07,08,08,00,00,111.84267
2008,07,08,08,30,00,122.56533
2008,07,08,09,00,00,201.89467
2008,07,08,09,30,00,290.03767
2008,07,08,10,00,00,294.25967
2008,07,08,10,30,00,339.85967
2008,07,08,11,00,00,314.444
2008,07,08,11,30,00,262.43533
2008,07,08,12,00,00,228.61567
2008,07,08,12,30,00,263.265
2008,07,08,13,00,00,204.01267
2008,07,08,13,30,00,201.124
2008,07,08,14,00,00,251.64633
2008,07,08,14,30,00,146.975
2008,07,08,15,00,00,223.451
2008,07,08,15,30,00,182.76933
2008,07,08,16,00,00,152.925
2008,07,08,16,30,00,185.49633
2008,07,08,17,00,00,82.916
2008,07,08,17,30,00,59.762
2008,07,08,18,00,00,59.537
2008,07,08,18,30,00,60.49567
2008,07,08,19,00,00,44.95633
2008,07,08,19,30,00,40.007
2008,07,08,20,00,00,37.911
2008,07,08,20,30,00,28.47767
2008,07,08,21,00,00,14.36567
2008,07,08,21,30,00,5.46767
2008,07,08,22,00,00,2.062
2008,07,08,22,30,00,1.079
2008,07,08,23,00,00,-0.13467
2008,07,08,23,30,00,-0.12033
2008,07,09,00,00,00,-0.92267
2008,07,09,00,30,00,-1.59467
2008,07,09,01,00,00,-1.72633
2008,07,09,01,30,00,-0.439
2008,07,09,02,00,00,2.67033
2008,07,09,02,30,00,3.411
2008,07,09,03,00,00,5.80633
2008,07,09,03,30,00,13.13467
2008,07,09,04,00,00,22.55867
2008,07,09,04,30,00,30.11367
2008,07,09,05,00,00,39.00767
2008,07,09,05,30,00,39.61167
2008,07,09,06,00,00,53.77367
2008,07,09,06,30,00,82.18633
2008,07,09,07,00,00,112.892
2008,07,09,07,30,00,115.15833
2008,07,09,08,00,00,133.176
2008,07,09,08,30,00,175.92333
2008,07,09,09,00,00,188.52667
2008,07,09,09,30,00,227.97567
2008,07,09,10,00,00,260.00933
2008,07,09,10,30,00,245.433
2008,07,09,11,00,00,333.55367
2008,07,09,11,30,00,393.85467
2008,07,09,12,00,00,338.90267
2008,07,09,12,30,00,250.93767
2008,07,09,13,00,00,389.82241
2008,07,09,13,30,00,167.76433
2008,07,09,14,00,00,117.52267
2008,07,09,14,30,00,238.93867
2008,07,09,15,00,00,149.603
2008,07,09,15,30,00,218.0528
2008,07,09,16,00,00,294.67633
2008,07,09,16,30,00,250.743
2008,07,09,17,00,00,149.301
2008,07,09,17,30,00,159.635
2008,07,09,18,00,00,86.07233
2008,07,09,18,30,00,94.39867
2008,07,09,19,00,00,51.30233
2008,07,09,19,30,00,47.13967
2008,07,09,20,00,00,25.58533
2008,07,09,20,30,00,16.264
2008,07,09,21,00,00,8.78333
2008,07,09,21,30,00,5.65467
2008,07,09,22,00,00,3.65
2008,07,09,22,30,00,2.698
