Year,Month,Day,Hour,Minute,Second,HYY_META.diffPAR
2019,01,07,19,00,00,0
2019,01,07,19,30,00,0
2019,01,07,20,00,00,0
2019,01,07,20,30,00,0
2019,01,07,21,00,00,0
2019,01,07,21,30,00,0
2019,01,07,22,00,00,0
2019,01,07,22,30,00,0
2019,01,07,23,00,00,0
2019,01,07,23,30,00,0
2019,01,08,00,00,00,0
2019,01,08,00,30,00,0
2019,01,08,01,00,00,0
2019,01,08,01,30,00,0
2019,01,08,02,00,00,0
2019,01,08,02,30,00,0
2019,01,08,03,00,00,0
2019,01,08,03,30,00,0
2019,01,08,04,00,00,0
2019,01,08,04,30,00,0
2019,01,08,05,00,00,0
2019,01,08,05,30,00,0
2019,01,08,06,00,00,0
2019,01,08,06,30,00,0
2019,01,08,07,00,00,0
2019,01,08,07,30,00,0
2019,01,08,08,00,00,0
2019,01,08,08,30,00,0
2019,01,08,09,00,00,0.00072
2019,01,08,09,30,00,3.741
2019,01,08,10,00,00,16.10333
2019,01,08,10,30,00,31.59678
2019,01,08,11,00,00,49.42356
2019,01,08,11,30,00,61.46395
2019,01,08,12,00,00,63.57144
2019,01,08,12,30,00,56.74706
2019,01,08,13,00,00,43.99172
2019,01,08,13,30,00,33.04195
2019,01,08,14,00,00,21.01356
2019,01,08,14,30,00,10.51644
2019,01,08,15,00,00,2.06139
2019,01,08,15,30,00,0
2019,01,08,16,00,00,0
2019,01,08,16,30,00,0
2019,01,08,17,00,00,0
2019,01,08,17,30,00,0
2019,01,08,18,00,00,0
2019,01,08,18,30,00,0
2019,01,08,19,00,00,0
2019,01,08,19,30,00,0
2019,01,08,20,00,00,0
2019,01,08,20,30,00,0
2019,01,08,21,00,00,0
2019,01,08,21,30,00,0
2019,01,08,22,00,00,0
2019,01,08,22,30,00,0
2019,01,08,23,00,00,0
2019,01,08,23,30,00,0
2019,01,09,00,00,00,0
2019,01,09,00,30,00,0
2019,01,09,01,00,00,0
2019,01,09,01,30,00,0
2019,01,09,02,00,00,0
2019,01,09,02,30,00,0
2019,01,09,03,00,00,0
2019,01,09,03,30,00,0
2019,01,09,04,00,00,0
2019,01,09,04,30,00,0
2019,01,09,05,00,00,0
2019,01,09,05,30,00,0
2019,01,09,06,00,00,0
2019,01,09,06,30,00,0
2019,01,09,07,00,00,0
2019,01,09,07,30,00,0
2019,01,09,08,00,00,0
2019,01,09,08,30,00,0
2019,01,09,09,00,00,0.15672
2019,01,09,09,30,00,4.39583
2019,01,09,10,00,00,13.51767
2019,01,09,10,30,00,20.12917
2019,01,09,11,00,00,28.21411
2019,01,09,11,30,00,37.65289
2019,01,09,12,00,00,39.61411
2019,01,09,12,30,00,41.70556
2019,01,09,13,00,00,41.43944
2019,01,09,13,30,00,30.19844
2019,01,09,14,00,00,18.02956
2019,01,09,14,30,00,9.87572
2019,01,09,15,00,00,4.26211
2019,01,09,15,30,00,0.2425
2019,01,09,16,00,00,0
2019,01,09,16,30,00,0
2019,01,09,17,00,00,0
2019,01,09,17,30,00,0
2019,01,09,18,00,00,0
2019,01,09,18,30,00,0
2019,01,09,19,00,00,0
2019,01,09,19,30,00,0
2019,01,09,20,00,00,0
2019,01,09,20,30,00,0
2019,01,09,21,00,00,0
2019,01,09,21,30,00,0
2019,01,09,22,00,00,0
2019,01,09,22,30,00,0
2019,01,09,23,00,00,0
2019,01,09,23,30,00,0
2019,01,10,00,00,00,0
2019,01,10,00,30,00,0
2019,01,10,01,00,00,0
2019,01,10,01,30,00,0
2019,01,10,02,00,00,0
2019,01,10,02,30,00,0
2019,01,10,03,00,00,0
2019,01,10,03,30,00,0
2019,01,10,04,00,00,0
2019,01,10,04,30,00,0
2019,01,10,05,00,00,0
2019,01,10,05,30,00,0
2019,01,10,06,00,00,0
2019,01,10,06,30,00,0
2019,01,10,07,00,00,0
2019,01,10,07,30,00,0
