Year,Month,Day,Hour,Minute,Second,HYY_EDDYMAST.u_star_270
2019,01,08,22,30,00,0.3373
2019,01,08,23,00,00,0.35539
2019,01,08,23,30,00,0.24498
2019,01,09,00,00,00,0.39456
2019,01,09,00,30,00,0.38302
2019,01,09,01,00,00,0.40079
2019,01,09,01,30,00,0.3739
2019,01,09,02,00,00,0.4275
2019,01,09,02,30,00,0.34641
2019,01,09,03,00,00,0.29239
2019,01,09,03,30,00,NaN
2019,01,09,04,00,00,NaN
2019,01,09,04,30,00,NaN
2019,01,09,05,00,00,NaN
2019,01,09,05,30,00,NaN
2019,01,09,06,00,00,NaN
2019,01,09,06,30,00,NaN
2019,01,09,07,00,00,NaN
2019,01,09,07,30,00,NaN
2019,01,09,08,00,00,NaN
2019,01,09,08,30,00,NaN
2019,01,09,09,00,00,NaN
2019,01,09,09,30,00,NaN
2019,01,09,10,00,00,NaN
2019,01,09,10,30,00,NaN
2019,01,09,11,00,00,NaN
2019,01,09,11,30,00,NaN
2019,01,09,12,00,00,NaN
2019,01,09,12,30,00,NaN
2019,01,09,13,00,00,NaN
2019,01,09,13,30,00,NaN
2019,01,09,14,00,00,NaN
2019,01,09,14,30,00,NaN
2019,01,09,15,00,00,NaN
2019,01,09,15,30,00,0.18485
2019,01,09,16,00,00,0.30406
2019,01,09,16,30,00,NaN
2019,01,09,17,00,00,0.54174
2019,01,09,17,30,00,NaN
2019,01,09,18,00,00,NaN
2019,01,09,18,30,00,NaN
2019,01,09,19,00,00,NaN
2019,01,09,19,30,00,NaN
2019,01,09,20,00,00,NaN
2019,01,09,20,30,00,NaN
2019,01,09,21,00,00,NaN
2019,01,09,21,30,00,NaN
2019,01,09,22,00,00,NaN
2019,01,09,22,30,00,NaN
2019,01,09,23,00,00,NaN
2019,01,09,23,30,00,NaN
2019,01,10,00,00,00,NaN
2019,01,10,00,30,00,NaN
2019,01,10,01,00,00,NaN
2019,01,10,01,30,00,NaN
2019,01,10,02,00,00,NaN
2019,01,10,02,30,00,NaN
2019,01,10,03,00,00,NaN
2019,01,10,03,30,00,NaN
2019,01,10,04,00,00,NaN
2019,01,10,04,30,00,NaN
2019,01,10,05,00,00,NaN
2019,01,10,05,30,00,NaN
2019,01,10,06,00,00,NaN
2019,01,10,06,30,00,NaN
2019,01,10,07,00,00,NaN
2019,01,10,07,30,00,NaN
2019,01,10,08,00,00,NaN
2019,01,10,08,30,00,NaN
2019,01,10,09,00,00,NaN
2019,01,10,09,30,00,NaN
2019,01,10,10,00,00,NaN
2019,01,10,10,30,00,NaN
2019,01,10,11,00,00,NaN
2019,01,10,11,30,00,NaN
2019,01,10,12,00,00,NaN
2019,01,10,12,30,00,NaN
2019,01,10,13,00,00,NaN
2019,01,10,13,30,00,NaN
2019,01,10,14,00,00,NaN
2019,01,10,14,30,00,NaN
2019,01,10,15,00,00,NaN
2019,01,10,15,30,00,NaN
2019,01,10,16,00,00,NaN
2019,01,10,16,30,00,NaN
2019,01,10,17,00,00,NaN
2019,01,10,17,30,00,NaN
2019,01,10,18,00,00,NaN
2019,01,10,18,30,00,NaN
2019,01,10,19,00,00,NaN
2019,01,10,19,30,00,NaN
2019,01,10,20,00,00,NaN
2019,01,10,20,30,00,NaN
2019,01,10,21,00,00,NaN
2019,01,10,21,30,00,NaN
2019,01,10,22,00,00,NaN
2019,01,10,22,30,00,NaN
2019,01,10,23,00,00,NaN
2019,01,10,23,30,00,NaN
2019,01,11,00,00,00,NaN
2019,01,11,00,30,00,NaN
2019,01,11,01,00,00,NaN
2019,01,11,01,30,00,NaN
2019,01,11,02,00,00,NaN
2019,01,11,02,30,00,NaN
2019,01,11,03,00,00,NaN
2019,01,11,03,30,00,0.7643
2019,01,11,04,00,00,0.94871
2019,01,11,04,30,00,0.93934
2019,01,11,05,00,00,0.90456
2019,01,11,05,30,00,0.79945
2019,01,11,06,00,00,0.76215
2019,01,11,06,30,00,0.7059
2019,01,11,07,00,00,0.62479
2019,01,11,07,30,00,NaN
2019,01,11,08,00,00,NaN
2019,01,11,08,30,00,NaN
2019,01,11,09,00,00,NaN
2019,01,11,09,30,00,NaN
2019,01,11,10,00,00,NaN
2019,01,11,10,30,00,NaN
2019,01,11,11,00,00,NaN
2019,01,11,11,30,00,NaN
2019,01,11,12,00,00,0.76485
2019,01,11,12,30,00,NaN
2019,01,11,13,00,00,0.76628
2019,01,11,13,30,00,0.80905
2019,01,11,14,00,00,0.7561
2019,01,11,14,30,00,0.95256
2019,01,11,15,00,00,0.96093
2019,01,11,15,30,00,0.82289
2019,01,11,16,00,00,0.86343
2019,01,11,16,30,00,0.89554
2019,01,11,17,00,00,0.84366
2019,01,11,17,30,00,0.87491
2019,01,11,18,00,00,0.95151
2019,01,11,18,30,00,0.87857
2019,01,11,19,00,00,1.00921
2019,01,11,19,30,00,0.8496
2019,01,11,20,00,00,0.83276
2019,01,11,20,30,00,0.77421
2019,01,11,21,00,00,0.65989
2019,01,11,21,30,00,0.63782
2019,01,11,22,00,00,0.62113
2019,01,11,22,30,00,0.63162
2019,01,11,23,00,00,0.60597
2019,01,11,23,30,00,0.57947
2019,01,12,00,00,00,0.56585
2019,01,12,00,30,00,0.57662
2019,01,12,01,00,00,0.51711
2019,01,12,01,30,00,0.51171
2019,01,12,02,00,00,0.5188
2019,01,12,02,30,00,0.45456
2019,01,12,03,00,00,0.46806
2019,01,12,03,30,00,0.43374
2019,01,12,04,00,00,0.42865
2019,01,12,04,30,00,0.50668
2019,01,12,05,00,00,0.42013
2019,01,12,05,30,00,0.45281
2019,01,12,06,00,00,0.41124
2019,01,12,06,30,00,0.52812
2019,01,12,07,00,00,0.33442
2019,01,12,07,30,00,0.49941
2019,01,12,08,00,00,0.55243
2019,01,12,08,30,00,0.5541
2019,01,12,09,00,00,0.54197
2019,01,12,09,30,00,0.49468
2019,01,12,10,00,00,0.43308
2019,01,12,10,30,00,0.47833
2019,01,12,11,00,00,0.41337
2019,01,12,11,30,00,0.47232
2019,01,12,12,00,00,0.43854
2019,01,12,12,30,00,0.41961
2019,01,12,13,00,00,0.34585
2019,01,12,13,30,00,0.32682
2019,01,12,14,00,00,0.28115
2019,01,12,14,30,00,0.28832
2019,01,12,15,00,00,0.31642
2019,01,12,15,30,00,0.2826
2019,01,12,16,00,00,0.32117
2019,01,12,16,30,00,0.36416
2019,01,12,17,00,00,0.39572
2019,01,12,17,30,00,0.46815
2019,01,12,18,00,00,0.3562
2019,01,12,18,30,00,0.32779
2019,01,12,19,00,00,0.35516
2019,01,12,19,30,00,0.31229
2019,01,12,20,00,00,0.34012
2019,01,12,20,30,00,0.34533
2019,01,12,21,00,00,0.32295
2019,01,12,21,30,00,0.2861
2019,01,12,22,00,00,0.26895
2019,01,12,22,30,00,0.24996
2019,01,12,23,00,00,0.27608
2019,01,12,23,30,00,0.2201
2019,01,13,00,00,00,0.24813
2019,01,13,00,30,00,0.23214
2019,01,13,01,00,00,0.26757
2019,01,13,01,30,00,0.22969
2019,01,13,02,00,00,0.28355
2019,01,13,02,30,00,0.28926
2019,01,13,03,00,00,0.24031
2019,01,13,03,30,00,0.23836
2019,01,13,04,00,00,0.17
2019,01,13,04,30,00,0.14274
2019,01,13,05,00,00,0.22806
2019,01,13,05,30,00,0.19487
2019,01,13,06,00,00,0.1319
2019,01,13,06,30,00,0.15143
2019,01,13,07,00,00,0.15627
2019,01,13,07,30,00,0.16317
2019,01,13,08,00,00,0.1521
2019,01,13,08,30,00,0.09602
2019,01,13,09,00,00,0.10757
2019,01,13,09,30,00,0.1429
2019,01,13,10,00,00,0.11152
2019,01,13,10,30,00,0.16914
2019,01,13,11,00,00,0.12418
2019,01,13,11,30,00,0.11884
2019,01,13,12,00,00,0.16313
2019,01,13,12,30,00,0.14374
2019,01,13,13,00,00,0.16718
2019,01,13,13,30,00,0.18756
2019,01,13,14,00,00,0.22719
2019,01,13,14,30,00,0.20592
2019,01,13,15,00,00,0.25158
2019,01,13,15,30,00,0.22169
2019,01,13,16,00,00,0.25079
2019,01,13,16,30,00,0.36397
2019,01,13,17,00,00,NaN
2019,01,13,17,30,00,NaN
2019,01,13,18,00,00,NaN
2019,01,13,18,30,00,NaN
2019,01,13,19,00,00,NaN
2019,01,13,19,30,00,NaN
2019,01,13,20,00,00,NaN
2019,01,13,20,30,00,NaN
2019,01,13,21,00,00,NaN
2019,01,13,21,30,00,NaN
2019,01,13,22,00,00,NaN
2019,01,13,22,30,00,NaN
2019,01,13,23,00,00,NaN
2019,01,13,23,30,00,NaN
2019,01,14,00,00,00,NaN
2019,01,14,00,30,00,NaN
2019,01,14,01,00,00,NaN
2019,01,14,01,30,00,NaN
2019,01,14,02,00,00,NaN
2019,01,14,02,30,00,NaN
2019,01,14,03,00,00,NaN
2019,01,14,03,30,00,NaN
2019,01,14,04,00,00,NaN
2019,01,14,04,30,00,NaN
2019,01,14,05,00,00,NaN
2019,01,14,05,30,00,NaN
2019,01,14,06,00,00,NaN
2019,01,14,06,30,00,0.36345
2019,01,14,07,00,00,0.42604
2019,01,14,07,30,00,NaN
2019,01,14,08,00,00,0.26924
2019,01,14,08,30,00,0.2246
2019,01,14,09,00,00,0.16038
2019,01,14,09,30,00,0.16781
2019,01,14,10,00,00,0.40717
2019,01,14,10,30,00,0.50344
2019,01,14,11,00,00,0.45334
2019,01,14,11,30,00,0.4191
2019,01,14,12,00,00,0.41055
2019,01,14,12,30,00,0.41176
2019,01,14,13,00,00,0.4501
2019,01,14,13,30,00,0.3378
2019,01,14,14,00,00,0.41662
2019,01,14,14,30,00,0.30322
2019,01,14,15,00,00,0.20804
2019,01,14,15,30,00,0.20832
2019,01,14,16,00,00,0.10829
2019,01,14,16,30,00,0.05582
2019,01,14,17,00,00,0.13531
2019,01,14,17,30,00,0.12218
2019,01,14,18,00,00,0.08667
2019,01,14,18,30,00,0.10479
2019,01,14,19,00,00,0.2038
2019,01,14,19,30,00,0.15654
2019,01,14,20,00,00,0.10505
2019,01,14,20,30,00,0.10652
2019,01,14,21,00,00,0.06584
2019,01,14,21,30,00,0.16349
2019,01,14,22,00,00,0.30026
2019,01,14,22,30,00,0.42198
2019,01,14,23,00,00,0.42219
2019,01,14,23,30,00,0.43447
2019,01,15,00,00,00,0.36863
2019,01,15,00,30,00,0.33488
2019,01,15,01,00,00,0.34797
2019,01,15,01,30,00,0.31292
2019,01,15,02,00,00,0.32764
2019,01,15,02,30,00,0.32489
