Year,Month,Day,Hour,Minute,Second,HYY_META.tsoil_A
2019,01,06,13,30,00,1.1395
2019,01,06,14,00,00,1.142
2019,01,06,14,30,00,1.145
2019,01,06,15,00,00,1.1425
2019,01,06,15,30,00,1.1465
2019,01,06,16,00,00,1.145
2019,01,06,16,30,00,1.14
2019,01,06,17,00,00,1.1335
2019,01,06,17,30,00,1.1285
2019,01,06,18,00,00,1.129
2019,01,06,18,30,00,1.125
2019,01,06,19,00,00,1.1215
2019,01,06,19,30,00,1.129
2019,01,06,20,00,00,1.125
2019,01,06,20,30,00,1.1275
2019,01,06,21,00,00,1.123
2019,01,06,21,30,00,1.1215
2019,01,06,22,00,00,1.125
2019,01,06,22,30,00,1.115
2019,01,06,23,00,00,1.1165
2019,01,06,23,30,00,1.115
2019,01,07,00,00,00,1.1075
2019,01,07,00,30,00,1.116
2019,01,07,01,00,00,1.11
2019,01,07,01,30,00,1.1235
2019,01,07,02,00,00,1.117
2019,01,07,02,30,00,1.118
2019,01,07,03,00,00,1.105
2019,01,07,03,30,00,1.105
2019,01,07,04,00,00,1.098
2019,01,07,04,30,00,1.104
2019,01,07,05,00,00,1.1
2019,01,07,05,30,00,1.109
2019,01,07,06,00,00,1.1025
2019,01,07,06,30,00,1.104
2019,01,07,07,00,00,1.109
2019,01,07,07,30,00,1.1015
2019,01,07,08,00,00,1.1125
2019,01,07,08,30,00,1.1025
2019,01,07,09,00,00,1.1125
2019,01,07,09,30,00,1.113
2019,01,07,10,00,00,1.1165
2019,01,07,10,30,00,1.118
2019,01,07,11,00,00,1.109
2019,01,07,11,30,00,1.1165
2019,01,07,12,00,00,1.12
2019,01,07,12,30,00,1.115
2019,01,07,13,00,00,1.1135
2019,01,07,13,30,00,1.1265
2019,01,07,14,00,00,1.131
2019,01,07,14,30,00,1.125
2019,01,07,15,00,00,1.14
2019,01,07,15,30,00,1.1425
2019,01,07,16,00,00,1.139
2019,01,07,16,30,00,1.1435
2019,01,07,17,00,00,1.1425
2019,01,07,17,30,00,1.1425
2019,01,07,18,00,00,1.144
2019,01,07,18,30,00,1.14
2019,01,07,19,00,00,1.1475
2019,01,07,19,30,00,1.15
2019,01,07,20,00,00,1.1535
2019,01,07,20,30,00,1.1625
2019,01,07,21,00,00,1.1435
2019,01,07,21,30,00,1.145
2019,01,07,22,00,00,1.149
2019,01,07,22,30,00,1.156
2019,01,07,23,00,00,1.1495
2019,01,07,23,30,00,1.151
2019,01,08,00,00,00,1.156
2019,01,08,00,30,00,1.1475
2019,01,08,01,00,00,1.151
2019,01,08,01,30,00,1.15
2019,01,08,02,00,00,1.1565
2019,01,08,02,30,00,1.151
2019,01,08,03,00,00,1.1535
2019,01,08,03,30,00,1.161
2019,01,08,04,00,00,1.1645
2019,01,08,04,30,00,1.1585
2019,01,08,05,00,00,1.1615
2019,01,08,05,30,00,1.161
2019,01,08,06,00,00,1.165
2019,01,08,06,30,00,1.161
2019,01,08,07,00,00,1.167
2019,01,08,07,30,00,1.17
2019,01,08,08,00,00,1.1825
2019,01,08,08,30,00,1.175
2019,01,08,09,00,00,1.1675
2019,01,08,09,30,00,1.1725
2019,01,08,10,00,00,1.1735
2019,01,08,10,30,00,1.1745
2019,01,08,11,00,00,1.176
2019,01,08,11,30,00,1.1795
2019,01,08,12,00,00,1.1775
2019,01,08,12,30,00,1.174
2019,01,08,13,00,00,1.185
2019,01,08,13,30,00,1.177
2019,01,08,14,00,00,1.188
2019,01,08,14,30,00,1.184
2019,01,08,15,00,00,1.1825
2019,01,08,15,30,00,1.185
2019,01,08,16,00,00,1.1855
2019,01,08,16,30,00,1.188
2019,01,08,17,00,00,1.189
2019,01,08,17,30,00,1.188
2019,01,08,18,00,00,1.194
2019,01,08,18,30,00,1.1965
2019,01,08,19,00,00,1.194
2019,01,08,19,30,00,1.191
2019,01,08,20,00,00,1.195
2019,01,08,20,30,00,1.2015
2019,01,08,21,00,00,1.1965
2019,01,08,21,30,00,1.201
2019,01,08,22,00,00,1.2075
2019,01,08,22,30,00,1.2065
2019,01,08,23,00,00,1.2175
2019,01,08,23,30,00,1.215
2019,01,09,00,00,00,1.219
2019,01,09,00,30,00,1.2215
2019,01,09,01,00,00,1.2305
2019,01,09,01,30,00,1.23
2019,01,09,02,00,00,1.233
2019,01,09,02,30,00,1.2375
2019,01,09,03,00,00,1.239
2019,01,09,03,30,00,1.2425
2019,01,09,04,00,00,1.2425
2019,01,09,04,30,00,1.249
2019,01,09,05,00,00,1.2525
2019,01,09,05,30,00,1.249
2019,01,09,06,00,00,1.257
2019,01,09,06,30,00,1.2595
2019,01,09,07,00,00,1.2545
2019,01,09,07,30,00,1.263
2019,01,09,08,00,00,1.2625
2019,01,09,08,30,00,1.2685
2019,01,09,09,00,00,1.269
2019,01,09,09,30,00,1.2735
2019,01,09,10,00,00,1.2735
2019,01,09,10,30,00,1.276
2019,01,09,11,00,00,1.275
2019,01,09,11,30,00,1.2735
2019,01,09,12,00,00,1.27
2019,01,09,12,30,00,1.265
2019,01,09,13,00,00,1.264
2019,01,09,13,30,00,1.2625
2019,01,09,14,00,00,1.26
2019,01,09,14,30,00,1.261
2019,01,09,15,00,00,1.2625
2019,01,09,15,30,00,1.265
2019,01,09,16,00,00,1.262
2019,01,09,16,30,00,1.2695
2019,01,09,17,00,00,1.2675
2019,01,09,17,30,00,1.2735
2019,01,09,18,00,00,1.276
2019,01,09,18,30,00,1.2835
2019,01,09,19,00,00,1.286
2019,01,09,19,30,00,1.288
2019,01,09,20,00,00,1.29
2019,01,09,20,30,00,1.2965
2019,01,09,21,00,00,1.3015
2019,01,09,21,30,00,1.302
2019,01,09,22,00,00,1.3045
2019,01,09,22,30,00,1.3045
2019,01,09,23,00,00,1.3075
2019,01,09,23,30,00,1.306
2019,01,10,00,00,00,1.313
2019,01,10,00,30,00,1.3125
2019,01,10,01,00,00,1.31
2019,01,10,01,30,00,1.3215
2019,01,10,02,00,00,1.3185
2019,01,10,02,30,00,1.323
2019,01,10,03,00,00,1.3265
2019,01,10,03,30,00,1.3255
2019,01,10,04,00,00,1.3255
2019,01,10,04,30,00,1.328
2019,01,10,05,00,00,1.3265
2019,01,10,05,30,00,1.325
2019,01,10,06,00,00,1.3275
2019,01,10,06,30,00,1.3315
2019,01,10,07,00,00,1.325
2019,01,10,07,30,00,1.329
2019,01,10,08,00,00,1.32
2019,01,10,08,30,00,1.3175
2019,01,10,09,00,00,1.3275
2019,01,10,09,30,00,1.331
2019,01,10,10,00,00,1.3235
2019,01,10,10,30,00,1.328
2019,01,10,11,00,00,1.329
2019,01,10,11,30,00,1.3265
2019,01,10,12,00,00,1.326
2019,01,10,12,30,00,1.3315
2019,01,10,13,00,00,1.321
2019,01,10,13,30,00,1.3265
2019,01,10,14,00,00,1.3285
2019,01,10,14,30,00,1.326
2019,01,10,15,00,00,1.325
2019,01,10,15,30,00,1.32
2019,01,10,16,00,00,1.3225
2019,01,10,16,30,00,1.324
2019,01,10,17,00,00,1.3265
2019,01,10,17,30,00,1.3235
2019,01,10,18,00,00,1.3265
2019,01,10,18,30,00,1.3165
2019,01,10,19,00,00,1.324
2019,01,10,19,30,00,1.3215
2019,01,10,20,00,00,1.324
2019,01,10,20,30,00,1.32
2019,01,10,21,00,00,1.32
2019,01,10,21,30,00,1.3115
2019,01,10,22,00,00,1.305
2019,01,10,22,30,00,1.3025
2019,01,10,23,00,00,1.2915
2019,01,10,23,30,00,1.285
2019,01,11,00,00,00,1.267
2019,01,11,00,30,00,1.2635
2019,01,11,01,00,00,1.256
2019,01,11,01,30,00,1.252
2019,01,11,02,00,00,1.2435
2019,01,11,02,30,00,1.2415
2019,01,11,03,00,00,1.2415
2019,01,11,03,30,00,1.2265
2019,01,11,04,00,00,1.23
2019,01,11,04,30,00,1.2225
2019,01,11,05,00,00,1.2185
2019,01,11,05,30,00,1.2225
2019,01,11,06,00,00,1.23
2019,01,11,06,30,00,1.2225
2019,01,11,07,00,00,1.2115
2019,01,11,07,30,00,1.215
2019,01,11,08,00,00,1.224
2019,01,11,08,30,00,1.2165
2019,01,11,09,00,00,1.2215
2019,01,11,09,30,00,1.224
2019,01,11,10,00,00,1.2265
2019,01,11,10,30,00,1.231
2019,01,11,11,00,00,1.2325
2019,01,11,11,30,00,1.235
2019,01,11,12,00,00,1.2325
2019,01,11,12,30,00,1.2285
2019,01,11,13,00,00,1.2275
2019,01,11,13,30,00,1.233
2019,01,11,14,00,00,1.2235
2019,01,11,14,30,00,1.2265
2019,01,11,15,00,00,1.2275
2019,01,11,15,30,00,1.22
2019,01,11,16,00,00,1.2315
2019,01,11,16,30,00,1.227
2019,01,11,17,00,00,1.225
2019,01,11,17,30,00,1.2285
2019,01,11,18,00,00,1.2365
2019,01,11,18,30,00,1.23
2019,01,11,19,00,00,1.2315
2019,01,11,19,30,00,1.233
2019,01,11,20,00,00,1.2215
2019,01,11,20,30,00,1.22
2019,01,11,21,00,00,1.2375
2019,01,11,21,30,00,1.224
2019,01,11,22,00,00,1.229
2019,01,11,22,30,00,1.2325
2019,01,11,23,00,00,1.23
2019,01,11,23,30,00,1.2365
2019,01,12,00,00,00,1.2365
2019,01,12,00,30,00,1.249
2019,01,12,01,00,00,1.2475
2019,01,12,01,30,00,1.2435
2019,01,12,02,00,00,1.245
2019,01,12,02,30,00,1.246
2019,01,12,03,00,00,1.2525
2019,01,12,03,30,00,1.261
2019,01,12,04,00,00,1.259
2019,01,12,04,30,00,1.265
2019,01,12,05,00,00,1.269
2019,01,12,05,30,00,1.2765
2019,01,12,06,00,00,1.2775
2019,01,12,06,30,00,1.281
2019,01,12,07,00,00,1.287
2019,01,12,07,30,00,1.286
2019,01,12,08,00,00,1.2965
2019,01,12,08,30,00,1.2965
2019,01,12,09,00,00,1.296
2019,01,12,09,30,00,1.297
2019,01,12,10,00,00,1.299
2019,01,12,10,30,00,1.301
2019,01,12,11,00,00,1.3025
2019,01,12,11,30,00,1.2995
2019,01,12,12,00,00,1.304
2019,01,12,12,30,00,1.295
2019,01,12,13,00,00,1.295
2019,01,12,13,30,00,1.297
2019,01,12,14,00,00,1.2975
2019,01,12,14,30,00,1.304
2019,01,12,15,00,00,1.305
2019,01,12,15,30,00,1.3125
2019,01,12,16,00,00,1.3125
2019,01,12,16,30,00,1.324
2019,01,12,17,00,00,1.3275
2019,01,12,17,30,00,1.331
2019,01,12,18,00,00,1.334
2019,01,12,18,30,00,1.333
2019,01,12,19,00,00,1.33
2019,01,12,19,30,00,1.3315
2019,01,12,20,00,00,1.3375
2019,01,12,20,30,00,1.3365
2019,01,12,21,00,00,1.339
2019,01,12,21,30,00,1.3375
2019,01,12,22,00,00,1.3415
2019,01,12,22,30,00,1.3465
2019,01,12,23,00,00,1.3425
2019,01,12,23,30,00,1.3485
2019,01,13,00,00,00,1.358
2019,01,13,00,30,00,1.3455
2019,01,13,01,00,00,1.3455
2019,01,13,01,30,00,1.343
2019,01,13,02,00,00,1.3455
2019,01,13,02,30,00,1.349
2019,01,13,03,00,00,1.345
2019,01,13,03,30,00,1.3475
2019,01,13,04,00,00,1.344
2019,01,13,04,30,00,1.3455
2019,01,13,05,00,00,1.341
2019,01,13,05,30,00,1.3325
2019,01,13,06,00,00,1.335
2019,01,13,06,30,00,1.335
2019,01,13,07,00,00,1.3385
2019,01,13,07,30,00,1.34
2019,01,13,08,00,00,1.34
2019,01,13,08,30,00,1.335
2019,01,13,09,00,00,1.3385
2019,01,13,09,30,00,1.344
2019,01,13,10,00,00,1.3385
2019,01,13,10,30,00,1.33
2019,01,13,11,00,00,1.3285
2019,01,13,11,30,00,1.333
2019,01,13,12,00,00,1.33
2019,01,13,12,30,00,1.33
2019,01,13,13,00,00,1.323
2019,01,13,13,30,00,1.3255
2019,01,13,14,00,00,1.327
2019,01,13,14,30,00,1.3225
2019,01,13,15,00,00,1.32
2019,01,13,15,30,00,1.3235
2019,01,13,16,00,00,1.32
2019,01,13,16,30,00,1.3165
2019,01,13,17,00,00,1.324
2019,01,13,17,30,00,1.3155
2019,01,13,18,00,00,1.318
2019,01,13,18,30,00,1.3115
2019,01,13,19,00,00,1.3125
2019,01,13,19,30,00,1.3025
2019,01,13,20,00,00,1.301
2019,01,13,20,30,00,1.3035
2019,01,13,21,00,00,1.29
2019,01,13,21,30,00,1.2885
2019,01,13,22,00,00,1.2785
2019,01,13,22,30,00,1.2735
2019,01,13,23,00,00,1.2685
2019,01,13,23,30,00,1.273
2019,01,14,00,00,00,1.262
2019,01,14,00,30,00,1.2595
