Year,Month,Day,Hour,Minute,Second,HYY_META.PAR2
2019,01,06,01,00,00,0
2019,01,06,01,30,00,0
2019,01,06,02,00,00,0
2019,01,06,02,30,00,0
2019,01,06,03,00,00,0
2019,01,06,03,30,00,0
2019,01,06,04,00,00,0
2019,01,06,04,30,00,0
2019,01,06,05,00,00,0
2019,01,06,05,30,00,0
2019,01,06,06,00,00,0
2019,01,06,06,30,00,0
2019,01,06,07,00,00,0
2019,01,06,07,30,00,0
2019,01,06,08,00,00,0
2019,01,06,08,30,00,0
2019,01,06,09,00,00,0.27989
2019,01,06,09,30,00,7.22133
2019,01,06,10,00,00,20.73294
2019,01,06,10,30,00,43.32072
2019,01,06,11,00,00,48.99772
2019,01,06,11,30,00,53.95739
2019,01,06,12,00,00,50.24811
2019,01,06,12,30,00,57.66222
2019,01,06,13,00,00,71.76561
2019,01,06,13,30,00,41.92622
2019,01,06,14,00,00,28.88872
2019,01,06,14,30,00,13.07039
2019,01,06,15,00,00,2.65333
2019,01,06,15,30,00,0
2019,01,06,16,00,00,0
2019,01,06,16,30,00,0
2019,01,06,17,00,00,0
2019,01,06,17,30,00,0
2019,01,06,18,00,00,0
2019,01,06,18,30,00,0
2019,01,06,19,00,00,0
2019,01,06,19,30,00,0
2019,01,06,20,00,00,0
2019,01,06,20,30,00,0
2019,01,06,21,00,00,0
2019,01,06,21,30,00,0
2019,01,06,22,00,00,0
2019,01,06,22,30,00,0
2019,01,06,23,00,00,0
2019,01,06,23,30,00,0
2019,01,07,00,00,00,0
2019,01,07,00,30,00,0
2019,01,07,01,00,00,0
2019,01,07,01,30,00,0
2019,01,07,02,00,00,0
2019,01,07,02,30,00,0
2019,01,07,03,00,00,0
2019,01,07,03,30,00,0
2019,01,07,04,00,00,0
2019,01,07,04,30,00,0
2019,01,07,05,00,00,0
2019,01,07,05,30,00,0
2019,01,07,06,00,00,0
2019,01,07,06,30,00,0
2019,01,07,07,00,00,0
2019,01,07,07,30,00,0
2019,01,07,08,00,00,0
2019,01,07,08,30,00,0
2019,01,07,09,00,00,0.86306
2019,01,07,09,30,00,12.698
2019,01,07,10,00,00,40.21694
2019,01,07,10,30,00,52.3335
2019,01,07,11,00,00,66.48844
2019,01,07,11,30,00,88.52739
2019,01,07,12,00,00,113.69849
2019,01,07,12,30,00,98.62161
2019,01,07,13,00,00,79.97461
2019,01,07,13,30,00,58.64561
2019,01,07,14,00,00,36.82089
2019,01,07,14,30,00,16.80183
2019,01,07,15,00,00,5.38967
2019,01,07,15,30,00,0.22244
2019,01,07,16,00,00,0
2019,01,07,16,30,00,0
2019,01,07,17,00,00,0
2019,01,07,17,30,00,0
2019,01,07,18,00,00,0
2019,01,07,18,30,00,0
2019,01,07,19,00,00,0
2019,01,07,19,30,00,0
2019,01,07,20,00,00,0
2019,01,07,20,30,00,0
2019,01,07,21,00,00,0
2019,01,07,21,30,00,0
2019,01,07,22,00,00,0
2019,01,07,22,30,00,0
2019,01,07,23,00,00,0
2019,01,07,23,30,00,0
2019,01,08,00,00,00,0
2019,01,08,00,30,00,0
2019,01,08,01,00,00,0
2019,01,08,01,30,00,0
2019,01,08,02,00,00,0
2019,01,08,02,30,00,0
2019,01,08,03,00,00,0
2019,01,08,03,30,00,0
2019,01,08,04,00,00,0
2019,01,08,04,30,00,0
2019,01,08,05,00,00,0
2019,01,08,05,30,00,0
2019,01,08,06,00,00,0
2019,01,08,06,30,00,0
2019,01,08,07,00,00,0
2019,01,08,07,30,00,0
2019,01,08,08,00,00,0
2019,01,08,08,30,00,0
2019,01,08,09,00,00,0.04628
2019,01,08,09,30,00,3.99411
2019,01,08,10,00,00,16.15794
2019,01,08,10,30,00,31.59683
2019,01,08,11,00,00,49.42356
2019,01,08,11,30,00,61.46395
2019,01,08,12,00,00,63.57144
2019,01,08,12,30,00,56.74706
2019,01,08,13,00,00,43.99172
2019,01,08,13,30,00,33.04195
2019,01,08,14,00,00,21.0185
2019,01,08,14,30,00,10.64744
2019,01,08,15,00,00,2.34467
2019,01,08,15,30,00,0
2019,01,08,16,00,00,0
2019,01,08,16,30,00,0
2019,01,08,17,00,00,0
2019,01,08,17,30,00,0
2019,01,08,18,00,00,0
2019,01,08,18,30,00,0
2019,01,08,19,00,00,0
2019,01,08,19,30,00,0
2019,01,08,20,00,00,0
2019,01,08,20,30,00,0
2019,01,08,21,00,00,0
2019,01,08,21,30,00,0
2019,01,08,22,00,00,0
2019,01,08,22,30,00,0
2019,01,08,23,00,00,0
2019,01,08,23,30,00,0
2019,01,09,00,00,00,0
2019,01,09,00,30,00,0
2019,01,09,01,00,00,0
2019,01,09,01,30,00,0
2019,01,09,02,00,00,0
2019,01,09,02,30,00,0
2019,01,09,03,00,00,0
2019,01,09,03,30,00,0
2019,01,09,04,00,00,0
2019,01,09,04,30,00,0
2019,01,09,05,00,00,0
2019,01,09,05,30,00,0
2019,01,09,06,00,00,0
2019,01,09,06,30,00,0
2019,01,09,07,00,00,0
2019,01,09,07,30,00,0
2019,01,09,08,00,00,0
2019,01,09,08,30,00,0
2019,01,09,09,00,00,0.22261
2019,01,09,09,30,00,4.64772
2019,01,09,10,00,00,13.58989
2019,01,09,10,30,00,20.13778
2019,01,09,11,00,00,28.21411
2019,01,09,11,30,00,37.65289
2019,01,09,12,00,00,39.61411
2019,01,09,12,30,00,41.70572
2019,01,09,13,00,00,41.43944
2019,01,09,13,30,00,30.19844
2019,01,09,14,00,00,18.04344
2019,01,09,14,30,00,10.02989
2019,01,09,15,00,00,4.57456
