Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,01,05,17,30,00,96.94839
2019,01,05,18,00,00,97.02408
2019,01,05,18,30,00,97.03861
2019,01,05,19,00,00,97.01078
2019,01,05,19,30,00,96.99878
2019,01,05,20,00,00,96.90181
2019,01,05,20,30,00,96.88281
2019,01,05,21,00,00,96.87278
2019,01,05,21,30,00,96.93631
2019,01,05,22,00,00,97.04467
2019,01,05,22,30,00,97.14819
2019,01,05,23,00,00,97.24939
2019,01,05,23,30,00,97.292
2019,01,06,00,00,00,97.40592
2019,01,06,00,30,00,97.48903
2019,01,06,01,00,00,97.51819
2019,01,06,01,30,00,97.53619
2019,01,06,02,00,00,97.61269
2019,01,06,02,30,00,97.83444
2019,01,06,03,00,00,97.74347
2019,01,06,03,30,00,97.859
2019,01,06,04,00,00,98.02136
2019,01,06,04,30,00,97.95736
2019,01,06,05,00,00,98.02883
2019,01,06,05,30,00,98.14856
2019,01,06,06,00,00,98.21406
2019,01,06,06,30,00,98.25572
2019,01,06,07,00,00,98.29919
2019,01,06,07,30,00,98.35075
2019,01,06,08,00,00,98.36664
2019,01,06,08,30,00,98.36706
2019,01,06,09,00,00,98.37536
2019,01,06,09,30,00,98.40911
2019,01,06,10,00,00,98.3222
2019,01,06,10,30,00,98.16622
2019,01,06,11,00,00,98.19253
2019,01,06,11,30,00,98.34711
2019,01,06,12,00,00,98.51275
2019,01,06,12,30,00,98.53061
2019,01,06,13,00,00,98.56358
2019,01,06,13,30,00,98.49575
2019,01,06,14,00,00,98.45328
2019,01,06,14,30,00,98.63267
2019,01,06,15,00,00,99.46094
2019,01,06,15,30,00,99.98869
2019,01,06,16,00,00,100
2019,01,06,16,30,00,100
2019,01,06,17,00,00,100
2019,01,06,17,30,00,100
2019,01,06,18,00,00,100
2019,01,06,18,30,00,100
2019,01,06,19,00,00,100
2019,01,06,19,30,00,100
2019,01,06,20,00,00,100
2019,01,06,20,30,00,100
2019,01,06,21,00,00,100
2019,01,06,21,30,00,100
2019,01,06,22,00,00,100
2019,01,06,22,30,00,100
2019,01,06,23,00,00,100
2019,01,06,23,30,00,100
2019,01,07,00,00,00,100
2019,01,07,00,30,00,100
2019,01,07,01,00,00,100
2019,01,07,01,30,00,100
2019,01,07,02,00,00,100
2019,01,07,02,30,00,100
2019,01,07,03,00,00,100
2019,01,07,03,30,00,100
2019,01,07,04,00,00,100
2019,01,07,04,30,00,100
2019,01,07,05,00,00,100
2019,01,07,05,30,00,100
2019,01,07,06,00,00,100
2019,01,07,06,30,00,100
2019,01,07,07,00,00,100
2019,01,07,07,30,00,100
2019,01,07,08,00,00,100
2019,01,07,08,30,00,100
2019,01,07,09,00,00,100
2019,01,07,09,30,00,100
2019,01,07,10,00,00,100
2019,01,07,10,30,00,100
2019,01,07,11,00,00,100
2019,01,07,11,30,00,100
2019,01,07,12,00,00,100
2019,01,07,12,30,00,99.96372
2019,01,07,13,00,00,99.54058
2019,01,07,13,30,00,99.34333
2019,01,07,14,00,00,99.80589
2019,01,07,14,30,00,99.88272
2019,01,07,15,00,00,99.96822
2019,01,07,15,30,00,100
2019,01,07,16,00,00,100
2019,01,07,16,30,00,100
2019,01,07,17,00,00,100
2019,01,07,17,30,00,100
2019,01,07,18,00,00,100
2019,01,07,18,30,00,100
2019,01,07,19,00,00,100
2019,01,07,19,30,00,100
2019,01,07,20,00,00,100
2019,01,07,20,30,00,100
2019,01,07,21,00,00,100
2019,01,07,21,30,00,100
2019,01,07,22,00,00,100
2019,01,07,22,30,00,100
2019,01,07,23,00,00,100
2019,01,07,23,30,00,100
2019,01,08,00,00,00,100
2019,01,08,00,30,00,100
2019,01,08,01,00,00,100
2019,01,08,01,30,00,100
2019,01,08,02,00,00,100
2019,01,08,02,30,00,100
2019,01,08,03,00,00,100
2019,01,08,03,30,00,100
2019,01,08,04,00,00,100
2019,01,08,04,30,00,100
2019,01,08,05,00,00,100
2019,01,08,05,30,00,100
2019,01,08,06,00,00,100
2019,01,08,06,30,00,100
2019,01,08,07,00,00,100
2019,01,08,07,30,00,100
2019,01,08,08,00,00,100
2019,01,08,08,30,00,100
2019,01,08,09,00,00,100
2019,01,08,09,30,00,100
2019,01,08,10,00,00,100
2019,01,08,10,30,00,100
2019,01,08,11,00,00,99.99911
2019,01,08,11,30,00,99.98042
2019,01,08,12,00,00,99.99475
2019,01,08,12,30,00,100
2019,01,08,13,00,00,100
2019,01,08,13,30,00,100
2019,01,08,14,00,00,100
2019,01,08,14,30,00,100
2019,01,08,15,00,00,100
2019,01,08,15,30,00,100
2019,01,08,16,00,00,100
2019,01,08,16,30,00,100
2019,01,08,17,00,00,99.99875
2019,01,08,17,30,00,99.99317
2019,01,08,18,00,00,99.99208
2019,01,08,18,30,00,100
2019,01,08,19,00,00,100
2019,01,08,19,30,00,100
2019,01,08,20,00,00,100
2019,01,08,20,30,00,100
2019,01,08,21,00,00,100
2019,01,08,21,30,00,100
2019,01,08,22,00,00,100
2019,01,08,22,30,00,99.99936
2019,01,08,23,00,00,99.96203
2019,01,08,23,30,00,99.89489
2019,01,09,00,00,00,99.85675
2019,01,09,00,30,00,99.76561
2019,01,09,01,00,00,99.6725
2019,01,09,01,30,00,99.61675
2019,01,09,02,00,00,99.45261
2019,01,09,02,30,00,99.37167
2019,01,09,03,00,00,99.14297
2019,01,09,03,30,00,99.09
2019,01,09,04,00,00,99.02453
2019,01,09,04,30,00,99.09347
2019,01,09,05,00,00,99.04694
2019,01,09,05,30,00,98.98925
2019,01,09,06,00,00,98.91342
2019,01,09,06,30,00,98.86692
2019,01,09,07,00,00,98.59286
2019,01,09,07,30,00,98.59733
2019,01,09,08,00,00,98.41658
2019,01,09,08,30,00,98.40625
2019,01,09,09,00,00,98.37711
2019,01,09,09,30,00,98.28725
2019,01,09,10,00,00,98.19797
2019,01,09,10,30,00,98.25325
2019,01,09,11,00,00,98.43108
2019,01,09,11,30,00,98.44722
2019,01,09,12,00,00,98.58819
2019,01,09,12,30,00,98.73133
2019,01,09,13,00,00,98.80342
2019,01,09,13,30,00,98.88833
2019,01,09,14,00,00,98.909
2019,01,09,14,30,00,98.89553
2019,01,09,15,00,00,98.83158
2019,01,09,15,30,00,98.85897
