Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2019,01,06,19,30,00,-2.193
2019,01,06,20,00,00,-2.03567
2019,01,06,20,30,00,-1.93867
2019,01,06,21,00,00,-1.82833
2019,01,06,21,30,00,-1.703
2019,01,06,22,00,00,-1.55467
2019,01,06,22,30,00,-1.40267
2019,01,06,23,00,00,-1.25567
2019,01,06,23,30,00,-1.10767
2019,01,07,00,00,00,-0.968
2019,01,07,00,30,00,-0.821
2019,01,07,01,00,00,-0.65233
2019,01,07,01,30,00,-0.492
2019,01,07,02,00,00,-0.40533
2019,01,07,02,30,00,-0.36367
2019,01,07,03,00,00,-0.25133
2019,01,07,03,30,00,-0.204
2019,01,07,04,00,00,-0.20033
2019,01,07,04,30,00,-0.16867
2019,01,07,05,00,00,-0.14833
2019,01,07,05,30,00,-0.143
2019,01,07,06,00,00,-0.12333
2019,01,07,06,30,00,-0.10667
2019,01,07,07,00,00,-0.00633
2019,01,07,07,30,00,0.07367
2019,01,07,08,00,00,0.03233
2019,01,07,08,30,00,-0.032
2019,01,07,09,00,00,-0.13667
2019,01,07,09,30,00,-0.23533
2019,01,07,10,00,00,-0.297
2019,01,07,10,30,00,-0.372
2019,01,07,11,00,00,-0.46467
2019,01,07,11,30,00,-0.57733
2019,01,07,12,00,00,-0.65
2019,01,07,12,30,00,-0.77733
2019,01,07,13,00,00,-0.91
2019,01,07,13,30,00,-1.021
2019,01,07,14,00,00,-1.21633
2019,01,07,14,30,00,-1.43233
2019,01,07,15,00,00,-1.63333
2019,01,07,15,30,00,-1.77267
2019,01,07,16,00,00,-2.00567
2019,01,07,16,30,00,-2.15433
2019,01,07,17,00,00,-2.15367
2019,01,07,17,30,00,-1.97333
2019,01,07,18,00,00,-1.98133
2019,01,07,18,30,00,-2.02033
2019,01,07,19,00,00,-1.96033
2019,01,07,19,30,00,-2.01867
2019,01,07,20,00,00,-2.06733
2019,01,07,20,30,00,-2.10733
2019,01,07,21,00,00,-2.188
2019,01,07,21,30,00,-2.139
2019,01,07,22,00,00,-2.09133
2019,01,07,22,30,00,-2.06633
2019,01,07,23,00,00,-2.04633
2019,01,07,23,30,00,-1.98133
2019,01,08,00,00,00,-2.009
2019,01,08,00,30,00,-1.99167
2019,01,08,01,00,00,-1.964
2019,01,08,01,30,00,-1.965
2019,01,08,02,00,00,-1.959
2019,01,08,02,30,00,-1.989
2019,01,08,03,00,00,-2.06333
2019,01,08,03,30,00,-2.16333
2019,01,08,04,00,00,-2.248
2019,01,08,04,30,00,-2.30167
2019,01,08,05,00,00,-2.34267
2019,01,08,05,30,00,-2.42
2019,01,08,06,00,00,-2.44167
2019,01,08,06,30,00,-2.46367
2019,01,08,07,00,00,-2.44833
2019,01,08,07,30,00,-2.46833
2019,01,08,08,00,00,-2.50167
2019,01,08,08,30,00,-2.50733
2019,01,08,09,00,00,-2.536
2019,01,08,09,30,00,-2.57233
2019,01,08,10,00,00,-2.597
2019,01,08,10,30,00,-2.61833
2019,01,08,11,00,00,-2.64
2019,01,08,11,30,00,-2.634
2019,01,08,12,00,00,-2.603
2019,01,08,12,30,00,-2.57
2019,01,08,13,00,00,-2.55633
2019,01,08,13,30,00,-2.57333
2019,01,08,14,00,00,-2.57067
2019,01,08,14,30,00,-2.59467
2019,01,08,15,00,00,-2.60633
2019,01,08,15,30,00,-2.60533
2019,01,08,16,00,00,-2.61733
2019,01,08,16,30,00,-2.61133
2019,01,08,17,00,00,-2.624
2019,01,08,17,30,00,-2.67433
2019,01,08,18,00,00,-2.7
2019,01,08,18,30,00,-2.73367
2019,01,08,19,00,00,-2.76767
2019,01,08,19,30,00,-2.796
2019,01,08,20,00,00,-2.828
2019,01,08,20,30,00,-2.85533
2019,01,08,21,00,00,-2.92333
2019,01,08,21,30,00,-3.09567
2019,01,08,22,00,00,-3.24267
2019,01,08,22,30,00,-3.33433
2019,01,08,23,00,00,-3.504
2019,01,08,23,30,00,-3.638
2019,01,09,00,00,00,-3.74033
2019,01,09,00,30,00,-3.86067
2019,01,09,01,00,00,-4.05667
2019,01,09,01,30,00,-4.21433
2019,01,09,02,00,00,-4.41567
2019,01,09,02,30,00,-4.581
2019,01,09,03,00,00,-4.75067
2019,01,09,03,30,00,-4.908
2019,01,09,04,00,00,-4.948
2019,01,09,04,30,00,-4.91567
2019,01,09,05,00,00,-4.93067
2019,01,09,05,30,00,-4.97433
2019,01,09,06,00,00,-5.038
2019,01,09,06,30,00,-5.09033
2019,01,09,07,00,00,-5.362
2019,01,09,07,30,00,-5.55267
2019,01,09,08,00,00,-5.71467
2019,01,09,08,30,00,-5.77167
2019,01,09,09,00,00,-5.83233
2019,01,09,09,30,00,-5.882
2019,01,09,10,00,00,-5.93
2019,01,09,10,30,00,-5.89167
2019,01,09,11,00,00,-5.599
2019,01,09,11,30,00,-5.428
2019,01,09,12,00,00,-5.21167
2019,01,09,12,30,00,-4.934
2019,01,09,13,00,00,-4.73833
2019,01,09,13,30,00,-4.53067
2019,01,09,14,00,00,-4.423
2019,01,09,14,30,00,-4.43067
2019,01,09,15,00,00,-4.51467
2019,01,09,15,30,00,-4.543
2019,01,09,16,00,00,-4.51967
2019,01,09,16,30,00,-4.573
2019,01,09,17,00,00,-4.90567
2019,01,09,17,30,00,-4.89867
2019,01,09,18,00,00,-4.99967
2019,01,09,18,30,00,-5.32333
2019,01,09,19,00,00,-5.799
2019,01,09,19,30,00,-6.408
2019,01,09,20,00,00,-6.60033
2019,01,09,20,30,00,-6.58733
2019,01,09,21,00,00,-6.54967
2019,01,09,21,30,00,-6.76633
2019,01,09,22,00,00,-6.946
2019,01,09,22,30,00,-7.08967
2019,01,09,23,00,00,-7.20533
2019,01,09,23,30,00,-7.33567
2019,01,10,00,00,00,-7.777
2019,01,10,00,30,00,-8.01833
2019,01,10,01,00,00,-8.35867
2019,01,10,01,30,00,-8.45233
2019,01,10,02,00,00,-8.547
2019,01,10,02,30,00,-8.641
2019,01,10,03,00,00,-8.65467
2019,01,10,03,30,00,-8.68367
2019,01,10,04,00,00,-8.879
2019,01,10,04,30,00,-8.99833
2019,01,10,05,00,00,-9.06467
2019,01,10,05,30,00,-9.234
2019,01,10,06,00,00,-9.308
2019,01,10,06,30,00,-9.504
2019,01,10,07,00,00,-9.59733
2019,01,10,07,30,00,-9.60367
2019,01,10,08,00,00,-9.77667
2019,01,10,08,30,00,-9.82567
2019,01,10,09,00,00,-9.92433
2019,01,10,09,30,00,-10.08267
2019,01,10,10,00,00,-10.18367
2019,01,10,10,30,00,-10.28133
2019,01,10,11,00,00,-10.35833
2019,01,10,11,30,00,-10.27867
2019,01,10,12,00,00,-10.201
2019,01,10,12,30,00,-10.43133
2019,01,10,13,00,00,-10.26967
2019,01,10,13,30,00,-9.92433
2019,01,10,14,00,00,-9.68167
2019,01,10,14,30,00,-9.521
2019,01,10,15,00,00,-9.47667
2019,01,10,15,30,00,-9.39133
2019,01,10,16,00,00,-9.426
2019,01,10,16,30,00,-9.474
2019,01,10,17,00,00,-9.44067
2019,01,10,17,30,00,-9.40167
2019,01,10,18,00,00,-9.24767
2019,01,10,18,30,00,-9.067
2019,01,10,19,00,00,-8.76633
2019,01,10,19,30,00,-8.55167
2019,01,10,20,00,00,-8.162
2019,01,10,20,30,00,-7.70433
2019,01,10,21,00,00,-7.159
2019,01,10,21,30,00,-6.445
2019,01,10,22,00,00,-5.57
2019,01,10,22,30,00,-4.64767
2019,01,10,23,00,00,-3.78567
2019,01,10,23,30,00,-3.226
2019,01,11,00,00,00,-2.89167
2019,01,11,00,30,00,-2.59233
2019,01,11,01,00,00,-2.34633
2019,01,11,01,30,00,-2.17333
2019,01,11,02,00,00,-2.016
2019,01,11,02,30,00,-1.82633
2019,01,11,03,00,00,-1.70833
2019,01,11,03,30,00,-1.50733
2019,01,11,04,00,00,-1.284
2019,01,11,04,30,00,-1.115
2019,01,11,05,00,00,-0.944
2019,01,11,05,30,00,-0.74733
2019,01,11,06,00,00,-0.52767
2019,01,11,06,30,00,-0.35767
2019,01,11,07,00,00,-0.286
2019,01,11,07,30,00,-0.46
2019,01,11,08,00,00,-0.86133
2019,01,11,08,30,00,-1.29733
2019,01,11,09,00,00,-1.61633
2019,01,11,09,30,00,-1.81433
2019,01,11,10,00,00,-1.889
2019,01,11,10,30,00,-1.84633
2019,01,11,11,00,00,-1.854
2019,01,11,11,30,00,-1.84767
2019,01,11,12,00,00,-1.72567
2019,01,11,12,30,00,-1.55567
2019,01,11,13,00,00,-1.605
2019,01,11,13,30,00,-1.59
2019,01,11,14,00,00,-1.45067
2019,01,11,14,30,00,-1.27633
2019,01,11,15,00,00,-1.06
2019,01,11,15,30,00,-0.96833
2019,01,11,16,00,00,-0.86467
2019,01,11,16,30,00,-0.91633
2019,01,11,17,00,00,-0.95
2019,01,11,17,30,00,-0.93233
2019,01,11,18,00,00,-0.809
2019,01,11,18,30,00,-0.50233
2019,01,11,19,00,00,-0.298
2019,01,11,19,30,00,-0.166
2019,01,11,20,00,00,-0.06133
2019,01,11,20,30,00,-0.10067
2019,01,11,21,00,00,-0.244
2019,01,11,21,30,00,-0.318
2019,01,11,22,00,00,-0.474
2019,01,11,22,30,00,-0.61633
2019,01,11,23,00,00,-0.76033
2019,01,11,23,30,00,-0.85667
2019,01,12,00,00,00,-0.926
2019,01,12,00,30,00,-0.88067
2019,01,12,01,00,00,-0.996
2019,01,12,01,30,00,-1.17933
2019,01,12,02,00,00,-1.22567
2019,01,12,02,30,00,-1.40767
2019,01,12,03,00,00,-1.61867
2019,01,12,03,30,00,-1.844
2019,01,12,04,00,00,-2.27567
2019,01,12,04,30,00,-2.34733
2019,01,12,05,00,00,-2.82633
2019,01,12,05,30,00,-2.92333
2019,01,12,06,00,00,-3.078
2019,01,12,06,30,00,-3.37033
2019,01,12,07,00,00,-3.41133
2019,01,12,07,30,00,-3.476
2019,01,12,08,00,00,-3.49233
2019,01,12,08,30,00,-3.66467
2019,01,12,09,00,00,-3.741
2019,01,12,09,30,00,-3.85433
2019,01,12,10,00,00,-4.02767
2019,01,12,10,30,00,-4.034
2019,01,12,11,00,00,-3.931
2019,01,12,11,30,00,-3.81933
2019,01,12,12,00,00,-3.75367
2019,01,12,12,30,00,-3.66333
2019,01,12,13,00,00,-3.525
2019,01,12,13,30,00,-3.43767
2019,01,12,14,00,00,-3.70267
2019,01,12,14,30,00,-4.14433
2019,01,12,15,00,00,-4.32667
2019,01,12,15,30,00,-4.62633
2019,01,12,16,00,00,-4.999
2019,01,12,16,30,00,-5.16767
2019,01,12,17,00,00,-5.40567
2019,01,12,17,30,00,-5.64433
2019,01,12,18,00,00,-5.87533
2019,01,12,18,30,00,-6.121
2019,01,12,19,00,00,-6.40667
2019,01,12,19,30,00,-6.54033
2019,01,12,20,00,00,-6.738
2019,01,12,20,30,00,-6.84433
2019,01,12,21,00,00,-6.782
2019,01,12,21,30,00,-6.898
2019,01,12,22,00,00,-7.045
2019,01,12,22,30,00,-6.994
2019,01,12,23,00,00,-7.25833
2019,01,12,23,30,00,-7.455
2019,01,13,00,00,00,-7.739
2019,01,13,00,30,00,-7.87867
2019,01,13,01,00,00,-7.706
2019,01,13,01,30,00,-7.83133
2019,01,13,02,00,00,-7.778
2019,01,13,02,30,00,-7.77567
2019,01,13,03,00,00,-7.66233
2019,01,13,03,30,00,-7.35333
2019,01,13,04,00,00,-7.41433
2019,01,13,04,30,00,-7.43367
2019,01,13,05,00,00,-7.33133
2019,01,13,05,30,00,-7.448
2019,01,13,06,00,00,-7.751
2019,01,13,06,30,00,-7.80233
2019,01,13,07,00,00,-7.67367
2019,01,13,07,30,00,-7.50233
2019,01,13,08,00,00,-7.562
2019,01,13,08,30,00,-7.77267
2019,01,13,09,00,00,-7.81033
2019,01,13,09,30,00,-7.397
2019,01,13,10,00,00,-7.20433
2019,01,13,10,30,00,-7.50767
2019,01,13,11,00,00,-7.46233
2019,01,13,11,30,00,-7.635
2019,01,13,12,00,00,-8.04133
2019,01,13,12,30,00,-8.465
2019,01,13,13,00,00,-8.75433
2019,01,13,13,30,00,-9.069
2019,01,13,14,00,00,-9.14533
2019,01,13,14,30,00,-8.91867
2019,01,13,15,00,00,-8.48133
2019,01,13,15,30,00,-8.179
2019,01,13,16,00,00,-7.89467
2019,01,13,16,30,00,-7.62867
2019,01,13,17,00,00,-7.25167
2019,01,13,17,30,00,-7.03833
2019,01,13,18,00,00,-6.69067
2019,01,13,18,30,00,-6.45467
2019,01,13,19,00,00,-6.433
2019,01,13,19,30,00,-6.056
2019,01,13,20,00,00,-5.51633
2019,01,13,20,30,00,-5.10167
2019,01,13,21,00,00,-4.66867
2019,01,13,21,30,00,-4.47833
2019,01,13,22,00,00,-4.21333
2019,01,13,22,30,00,-3.78633
2019,01,13,23,00,00,-3.62167
2019,01,13,23,30,00,-3.56033
2019,01,14,00,00,00,-3.54267
2019,01,14,00,30,00,-3.54633
2019,01,14,01,00,00,-3.50467
2019,01,14,01,30,00,-3.504
2019,01,14,02,00,00,-3.61
2019,01,14,02,30,00,-3.58233
2019,01,14,03,00,00,-3.50033
2019,01,14,03,30,00,-3.49067
2019,01,14,04,00,00,-3.52
2019,01,14,04,30,00,-3.621
2019,01,14,05,00,00,-3.66567
2019,01,14,05,30,00,-3.646
2019,01,14,06,00,00,-3.624
2019,01,14,06,30,00,-3.63933
2019,01,14,07,00,00,-3.65033
2019,01,14,07,30,00,-3.658
2019,01,14,08,00,00,-3.68
2019,01,14,08,30,00,-3.68467
2019,01,14,09,00,00,-3.699
2019,01,14,09,30,00,-3.71633
2019,01,14,10,00,00,-4.489
2019,01,14,10,30,00,-5.175
2019,01,14,11,00,00,-5.35433
2019,01,14,11,30,00,-5.46967
2019,01,14,12,00,00,-5.455
2019,01,14,12,30,00,-5.40333
2019,01,14,13,00,00,-5.48933
2019,01,14,13,30,00,-5.663
2019,01,14,14,00,00,-5.75767
2019,01,14,14,30,00,-5.81533
2019,01,14,15,00,00,-5.87233
2019,01,14,15,30,00,-5.959
2019,01,14,16,00,00,-6.078
2019,01,14,16,30,00,-6.25733
2019,01,14,17,00,00,-6.29767
2019,01,14,17,30,00,-6.286
2019,01,14,18,00,00,-6.12967
2019,01,14,18,30,00,-5.963
2019,01,14,19,00,00,-5.86767
2019,01,14,19,30,00,-5.71133
2019,01,14,20,00,00,-5.86233
2019,01,14,20,30,00,-5.98567
2019,01,14,21,00,00,-5.963
2019,01,14,21,30,00,-6.12867
2019,01,14,22,00,00,-6.24367
2019,01,14,22,30,00,-6.43867
2019,01,14,23,00,00,-6.607
2019,01,14,23,30,00,-6.814
2019,01,15,00,00,00,-6.988
2019,01,15,00,30,00,-7.26067
2019,01,15,01,00,00,-7.48533
2019,01,15,01,30,00,-7.635
2019,01,15,02,00,00,-7.86067
2019,01,15,02,30,00,-8.00567
2019,01,15,03,00,00,-8.19167
2019,01,15,03,30,00,-8.31433
2019,01,15,04,00,00,-8.17833
2019,01,15,04,30,00,-8.15067
2019,01,15,05,00,00,-8.20733
2019,01,15,05,30,00,-8.07933
2019,01,15,06,00,00,-8.04233
2019,01,15,06,30,00,-7.904
2019,01,15,07,00,00,-7.58467
2019,01,15,07,30,00,-7.485
2019,01,15,08,00,00,-7.54133
2019,01,15,08,30,00,-7.61933
2019,01,15,09,00,00,-7.724
2019,01,15,09,30,00,-7.88833
2019,01,15,10,00,00,-8.11167
2019,01,15,10,30,00,-8.345
2019,01,15,11,00,00,-8.49133
2019,01,15,11,30,00,-8.54467
2019,01,15,12,00,00,-8.44633
2019,01,15,12,30,00,-8.53133
2019,01,15,13,00,00,-8.61733
2019,01,15,13,30,00,-8.65
2019,01,15,14,00,00,-8.62967
2019,01,15,14,30,00,-8.51233
2019,01,15,15,00,00,-8.36467
2019,01,15,15,30,00,-8.241
2019,01,15,16,00,00,-8.17067
2019,01,15,16,30,00,-8.113
2019,01,15,17,00,00,-8.05367
2019,01,15,17,30,00,-8.01533
2019,01,15,18,00,00,-7.96233
2019,01,15,18,30,00,-7.92367
2019,01,15,19,00,00,-7.90067
2019,01,15,19,30,00,-7.85267
2019,01,15,20,00,00,-7.742
2019,01,15,20,30,00,-7.592
2019,01,15,21,00,00,-7.354
2019,01,15,21,30,00,-7.08033
2019,01,15,22,00,00,-6.853
2019,01,15,22,30,00,-6.66767
2019,01,15,23,00,00,-6.488
2019,01,15,23,30,00,-6.30733
2019,01,16,00,00,00,-6.19167
2019,01,16,00,30,00,-6.147
2019,01,16,01,00,00,-5.96467
2019,01,16,01,30,00,-5.82467
2019,01,16,02,00,00,-5.80233
2019,01,16,02,30,00,-5.88833
2019,01,16,03,00,00,-6.02467
2019,01,16,03,30,00,-6.13167
2019,01,16,04,00,00,-6.24067
2019,01,16,04,30,00,-6.38633
2019,01,16,05,00,00,-6.509
2019,01,16,05,30,00,-6.571
2019,01,16,06,00,00,-6.66633
2019,01,16,06,30,00,-6.75233
2019,01,16,07,00,00,-6.842
2019,01,16,07,30,00,-6.909
2019,01,16,08,00,00,-6.97067
2019,01,16,08,30,00,-7.12633
2019,01,16,09,00,00,-7.30067
2019,01,16,09,30,00,-7.45267
2019,01,16,10,00,00,-7.52167
2019,01,16,10,30,00,-7.48567
2019,01,16,11,00,00,-7.49767
2019,01,16,11,30,00,-7.516
2019,01,16,12,00,00,-7.54133
